Probe_ID	Gene_ID	Assay_Normalized_Signal_HB00E8F_5/25/07_12:10_PM	CV_HB00E8F_5/25/07_12:10_PM	Flags_HB00E8F_5/25/07_12:10_PM
102244	hCG39032.3	3.43	0.15	0
102249	hCG1992482	50.65	0.04	0
102255	hCG1788838.3	0.28	1.03	1
102257	hCG41209.2	68.1	0.02	0
102263	hCG18096.3	0.86	3.72	1
102267	hCG28860.2	53.62	0.03	0
102274	hCG1816267.1	5.12	0.06	0
102277	hCG2039252	0.99	0.74	0
102279	hCG2040786	0.76	0.18	0
102286	hCG38386.2	2.23	1.52	1
102295	hCG2040920	0.22	0.55	1
102302	hCG2007960	4.1	0.09	0
102305	hCG41035.3	0.12	1.08	1
102314	hCG22558.2	7.33	0.04	0
102323	hCG2041635	0.62	0.19	0
102330	hCG1813943.1	0.28	6.86	1
102334	hCG37746.2	0.16	2.4	1
102335	hCG22983.3	7.3	0.04	0
102337	hCG1999761.1	9.55	0.11	0
102338	hCG1999937	57.38	0.02	0
102341	hCG1643737.4	3.55	0.06	0
102342	hCG40806.2	26.33	0.03	0
102344	hCG24601.3	1.04	0.32	0
102347	hCG1785689.1	0.31	1	0
102348	hCG1818337.1	21.73	0.03	0
102353	hCG1811335.1	66.81	0.03	0
102355	hCG2004161	58.69	0.04	0
102384	hCG1818505.1	0.45	3.14	1
102387	hCG2028285	1.63	0.29	0
102388	hCG1639814.3	1.15	0.39	0
102393	hCG1820696.2	5.15	0.11	0
102396	hCG1818170.1	35.16	0.04	0
102397	hCG401142.2	302.79	0.03	0
102403	hCG15707.3	42.5	0.02	0
102415	hCG1776607.2	48.81	0.04	0
102419	hCG2040158	34.4	0.03	0
102421	hCG1641109.3	0.64	11.04	1
102431	hCG1817734.1	0.42	1.32	1
102437	hCG1779987.3	0.79	0.83	0
102438	hCG22037.3	0.82	0.26	0
102441	hCG1814503.1	0.42	4.43	1
102445	hCG2031379	10.33	0.05	0
102450	hCG1641238.3	0.67	2.6	1
102451	hCG27663.3	1.8	0.06	0
102454	hCG14948.5	17.95	0.03	0
102459	hCG2040889	0.18	0.33	131073
102465	hCG21721.2	93.36	0.04	0
102474	hCG2040037	0.44	2.06	1
102477	hCG1799536.3	1.47	3.3	1
102482	hCG1817888.2	3.99	0.14	0
102483	hCG2009955.1	606.45	0.02	0
102484	hCG1645925.2	955.36	0.02	0
102488	hCG1802237.2	0.53	0.83	0
102491	hCG2036609	2.19	0.2	0
102492	hCG2010810	25.04	0.04	0
102498	hCG2040355	0.38	0.64	0
102503	hCG26731.3	318.1	0.02	0
102506	hCG2016335	1.09	1.66	1
102514	hCG21623.1	0.94	0.37	0
102516	hCG1810899.2	0.7	0.53	1
102518	hCG2042825	3305.49	0.02	0
102521	hCG2039415	1.6	1.86	1
102523	hCG2039661	1.71	1.86	1
102525	hCG32230.3	1703.03	0.04	0
102539	hCG25603.2	0.52	1.18	1
102551	hCG28132.3	12.21	0.04	0
102557	hCG2036945	1.05	2.85	1
102558	hCG27217.2	0.52	0.9	1
102559	hCG17341.3	1.8	0.21	0
102560	hCG1784311.2	1.74	21.23	1
102563	hCG37738.4	27.55	0.03	0
102564	hCG1640833.3	6.12	0.13	0
102565	hCG2033568	169.61	0.04	0
102571	hCG401258.3	16.43	0.06	0
102572	hCG40094.2	1.66	0.24	0
102581	hCG32761.3	3.53	0.19	0
102592	hCG26461.2	24.09	0.05	0
102596	hCG28255.3	4.32	0.05	0
102597	hCG21614.2	2.07	0.2	0
102598	hCG2026398	69.02	0.02	0
102603	hCG2040354	0.66	2.83	1
102604	hCG1818005.2	82.7	0.02	0
102610	hCG1820992.1	0.79	0.22	0
102617	hCG2040203	1618.89	0.02	0
102622	hCG1993060.1	0.3	0.76	0
102623	hCG2021191	1.09	1.29	1
102625	hCG2041450	0.55	0.69	0
102627	hCG1640802.3	53.69	0.02	0
102632	hCG17134.2	76.69	0.02	0
102647	hCG1639794.4	0.65	0.51	0
102652	hCG2040805	6.66	0.07	0
102654	hCG1786280.3	1.71	0.1	0
102661	hCG15675.3	0.69	0.3	0
102664	hCG23831.3	58.29	0.02	0
102667	hCG40867.3	1.1	0.95	0
102670	hCG1817745.1	1.95	1.35	1
102684	hCG1641756.3	0.61	0.67	1
102688	hCG28312.3	2.16	0.1	0
102693	hCG38712.3	0.39	1.37	1
102700	hCG1644052.4	1.61	0.3	0
102706	hCG1643350.2	6.26	0.05	0
102709	hCG27962.3	0.6	0.33	0
102711	hCG1646830.2	9.46	0.2	0
102718	hCG2021371.1	12.92	0.07	0
102721	hCG2038929.1	3.4	1.08	1
102723	hCG21875.3	89.19	0.02	0
102727	hCG36968.3	15.07	0.07	0
102730	hCG1641280.3	0.5	64.84	1
102731	hCG17370.4	0.88	1.94	1
102732	hCG20627.3	313.58	0.03	0
102734	hCG23599.2	0.44	1.04	1
102739	hCG41548.3	0.57	2.15	1
102753	hCG1982625.1	7.1	0.11	64
102754	hCG2041104	1.44	0.32	0
102756	hCG2015257	0.17	0.39	1
102759	hCG40285.3	0.27	0.87	0
102762	hCG16477.2	0.56	0.79	0
102769	hCG2041081	0.19	1.85	1
102776	hCG1642808.2	1.8	0.11	0
102778	hCG1793766.2	0.7	1.16	1
102783	hCG14620.4	1.85	0.35	0
102786	hCG22751.4	1.12	16.6	1
102788	hCG24773.3	8.21	0.06	0
102789	hCG1647281.4	0.45	2.85	1
102792	hCG41574.2	0.48	0.5	0
102794	hCG1815862.2	0.9	0.31	0
102795	hCG1820616.1	0.66	1.54	1
102817	hCG1660379.3	0.17	0.73	0
102818	hCG1805573.2	0.36	2.42	1
102820	hCG37534.3	0.13	0.27	131073
102823	hCG1782075.4	0.38	0.8	1
102824	hCG32687.3	0.5	1.04	1
102826	hCG2042714	1.23	0.47	0
102828	hCG19686.3	1.29	0.19	0
102833	hCG2041427	1.17	0.19	0
102834	hCG1646345.4	0.21	0.54	1
102835	hCG1639958.2	0.33	1	1
102836	hCG21198.4	2.98	0.95	0
102841	hCG1984300.3	668.88	0.02	0
102842	hCG2009963	28.78	0.04	0
102845	hCG30273.3	31.46	0.04	0
102846	hCG1658540.3	0.99	0.44	0
102848	hCG17197.3	0.68	0.84	0
102850	hCG2004095	5.05	3.14	1
102862	hCG40112.3	2.09	0.14	0
102875	hCG1771748.2	35.79	0.02	0
102878	hCG33357.3	0.53	6.16	1
102881	hCG1782607.2	0.81	0.15	0
102888	hCG32762.3	5.11	0.88	0
102896	hCG23894.4	8.13	0.05	0
102899	hCG32916.3	0.89	6.1	1
102901	hCG2041854	2.2	0.12	0
102904	hCG42523.3	0.11	3.74	1
102907	hCG2008461	113.89	0.04	0
102910	hCG2024622	16.89	0.04	0
102914	hCG2033639	1.78	0.24	0
102915	hCG17254.4	0.61	4.45	1
102916	hCG1643107.4	0.34	5.72	1
102924	hCG32817.3	0.48	1.42	1
102926	hCG17353.3	0.26	0.8	0
102937	hCG33071.3	99.23	0.03	0
102939	hCG1817842.1	0.22	0.97	0
102944	BC043192.1	10.38	0.05	0
102945	hCG2040945	4.43	0.06	0
102952	hCG2041884	1.2	5.2	1
102959	hCG32448.3	12.59	0.06	0
